country,station_code,station_name,year,species,sex,determinand,matrix,basis,unit,value,qflag,limit_detection,limit_quantification,uncertainty,unit_uncertainty,sub.sample,AMAP_group,source,OSPAR_region,OSPAR_subregion,,latitude,longitude
Denmark,12832,Ittoqqortoormiit District,1992,Ursus maritimus,F,HG,LI,W,mg/kg,64.82,,,,25,%,A20058,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1992,Ursus maritimus,F,HG,LI,W,mg/kg,22.06,,,,25,%,A20059,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1992,Ursus maritimus,F,HG,LI,W,mg/kg,9.26,,,,25,%,A20060,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1992,Ursus maritimus,M,HG,LI,W,mg/kg,18.91,,,,25,%,A20061,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1992,Ursus maritimus,F,HG,LI,W,mg/kg,93.69,,,,25,%,A20062,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1992,Ursus maritimus,M,HG,LI,W,mg/kg,51.69,,,,25,%,A20063,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1992,Ursus maritimus,M,HG,LI,W,mg/kg,39.44,,,,25,%,A20064,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1992,Ursus maritimus,M,HG,LI,W,mg/kg,18.3,,,,25,%,A20065,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1992,Ursus maritimus,M,HG,LI,W,mg/kg,5.32,,,,25,%,A20066,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1992,Ursus maritimus,M,HG,LI,W,mg/kg,19.28,,,,25,%,A20067,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1992,Ursus maritimus,F,HG,LI,W,mg/kg,92.98,,,,25,%,A20068,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1992,Ursus maritimus,M,HG,LI,W,mg/kg,23.81,,,,25,%,A20069,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1992,Ursus maritimus,M,HG,LI,W,mg/kg,15.52,,,,25,%,A20070,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1992,Ursus maritimus,M,HG,LI,W,mg/kg,21.47,,,,25,%,A20071,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1992,Ursus maritimus,M,HG,LI,W,mg/kg,37.84,,,,25,%,A20072,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1992,Ursus maritimus,M,HG,LI,W,mg/kg,18.89,,,,25,%,A20073,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1992,Ursus maritimus,M,HG,LI,W,mg/kg,44.43,,,,25,%,A20074,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1992,Ursus maritimus,M,HG,LI,W,mg/kg,26.3,,,,25,%,A20075,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1992,Ursus maritimus,F,HG,LI,W,mg/kg,36.84,,,,25,%,A20076,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1993,Ursus maritimus,F,HG,LI,W,mg/kg,10.89,,,,25,%,A20077,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1993,Ursus maritimus,F,HG,LI,W,mg/kg,34.15,,,,25,%,A20078,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1993,Ursus maritimus,F,HG,LI,W,mg/kg,17.95,,,,25,%,A20079,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1993,Ursus maritimus,F,HG,LI,W,mg/kg,81.51,,,,25,%,A20080,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1993,Ursus maritimus,M,HG,LI,W,mg/kg,17.34,,,,25,%,A20081,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1993,Ursus maritimus,F,HG,LI,W,mg/kg,16.83,,,,25,%,A20082,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1993,Ursus maritimus,M,HG,LI,W,mg/kg,45.46,,,,25,%,A20083,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1993,Ursus maritimus,F,HG,LI,W,mg/kg,104,,,,25,%,A20084,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1993,Ursus maritimus,M,HG,LI,W,mg/kg,41.18,,,,25,%,A20085,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1993,Ursus maritimus,M,HG,LI,W,mg/kg,42.26,,,,25,%,A20086,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1993,Ursus maritimus,F,HG,LI,W,mg/kg,41.33,,,,25,%,A20087,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1993,Ursus maritimus,M,HG,LI,W,mg/kg,28.47,,,,25,%,A20088,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1993,Ursus maritimus,M,HG,LI,W,mg/kg,40.42,,,,25,%,A20089,Adult_male,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1993,Ursus maritimus,M,HG,LI,W,mg/kg,39.49,,,,25,%,A20090,Juvenile,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1993,Ursus maritimus,F,HG,LI,W,mg/kg,156.62,,,,25,%,A20091,Adult_female,Riget,,,,,
Denmark,12832,Ittoqqortoormiit District,1993,Ursus maritimus,M,HG,LI,W,mg/kg,13.03,,,,25,%,A20092,Juvenile,Riget,,,,,
