country,station_code,station_name,year,species,sex,determinand,matrix,basis,unit,value,qflag,limit_detection,limit_quantification,uncertainty,methodUncertainty,latitude,longitude,date,depth,noinp,filtered,AMAP_group,sampleID,replicate,pargroup,metpt,metoa,metcx,OSPAR_region,OSPAR_subregion
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,AGMEA,HA,D,y,3,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,HG,LI,W,mg/kg,23.9,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,HG,HA,D,mg/kg,6.32,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,AGMEA,HA,D,y,13,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,HG,LI,W,mg/kg,14.6,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,HG,HA,D,mg/kg,5.29,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,AGMEA,HA,D,y,3,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,HG,LI,W,mg/kg,8.39,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,HG,HA,D,mg/kg,3.75,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,AGMEA,HA,D,y,3,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,HG,LI,W,mg/kg,6.44,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,HG,HA,D,mg/kg,3.35,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,M,AGMEA,HA,D,y,3,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,HG,LI,W,mg/kg,24.8,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,F,HG,HA,D,mg/kg,4.85,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1987,Ursus maritimus,,HG,HA,D,mg/kg,3.052,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1988,Ursus maritimus,M,HG,HA,D,mg/kg,5.577,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1988,Ursus maritimus,M,HG,HA,D,mg/kg,7.003,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1988,Ursus maritimus,M,AGMEA,HA,D,y,12,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1988,Ursus maritimus,M,HG,HA,D,mg/kg,3.085,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1988,Ursus maritimus,M,AGMEA,HA,D,y,9,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1988,Ursus maritimus,F,HG,HA,D,mg/kg,2.03,,,,25,%,,,,,,,,,,,,,,,
Denmark,A9,Ittoqqortoormiit AMAP,1988,Ursus maritimus,F,AGMEA,HA,D,y,1,,,,25,%,,,,,,,,,,,,,,,
