country,station_code,station_name,year,species,sex,determinand,matrix,basis,value,unit,censoring,limit_detection,limit_quantification,uncertainty,unit_uncertainty,sample,subseries,source
Canada,A6,Western Hudson Bay,2012,Rangifer tarandus,I,HG,KI,D,3.89,ug/g,,,,,,A12697,,Gamberg
Canada,A6,Western Hudson Bay,2012,Rangifer tarandus,I,HG,KI,D,3.97,ug/g,,,,,,A12698,,Gamberg
Canada,A6,Western Hudson Bay,2012,Rangifer tarandus,F,HG,KI,D,4.94,ug/g,,,,,,A12699,,Gamberg
Canada,A6,Western Hudson Bay,2012,Rangifer tarandus,F,HG,KI,D,4.97,ug/g,,,,,,A12700,,Gamberg
Canada,A6,Western Hudson Bay,2012,Rangifer tarandus,F,HG,KI,D,5,ug/g,,,,,,A12701,,Gamberg
Canada,A6,Western Hudson Bay,2012,Rangifer tarandus,I,HG,KI,D,5.12,ug/g,,,,,,A12702,,Gamberg
Canada,A6,Western Hudson Bay,2012,Rangifer tarandus,F,HG,KI,D,5.3,ug/g,,,,,,A12703,,Gamberg
Canada,A6,Western Hudson Bay,2012,Rangifer tarandus,M,HG,KI,D,6.01,ug/g,,,,,,A12704,,Gamberg
Canada,A6,Western Hudson Bay,2012,Rangifer tarandus,F,HG,KI,D,6.12,ug/g,,,,,,A12705,,Gamberg
Canada,A6,Western Hudson Bay,2012,Rangifer tarandus,F,HG,KI,D,6.16,ug/g,,,,,,A12706,,Gamberg
Canada,A6,Western Hudson Bay,2012,Rangifer tarandus,M,HG,KI,D,6.17,ug/g,,,,,,A12707,,Gamberg
Canada,A6,Western Hudson Bay,2012,Rangifer tarandus,M,HG,KI,D,6.22,ug/g,,,,,,A12708,,Gamberg
Canada,A6,Western Hudson Bay,2012,Rangifer tarandus,M,HG,KI,D,6.85,ug/g,,,,,,A12709,,Gamberg
Canada,A6,Western Hudson Bay,2012,Rangifer tarandus,F,HG,KI,D,7.07,ug/g,,,,,,A12710,,Gamberg
Canada,A6,Western Hudson Bay,2012,Rangifer tarandus,M,HG,KI,D,7.21,ug/g,,,,,,A12711,,Gamberg
Canada,A6,Western Hudson Bay,2012,Rangifer tarandus,F,HG,KI,D,7.99,ug/g,,,,,,A12712,,Gamberg
Canada,A6,Western Hudson Bay,2012,Rangifer tarandus,M,HG,KI,D,8.08,ug/g,,,,,,A12713,,Gamberg
Canada,A6,Western Hudson Bay,2012,Rangifer tarandus,M,HG,KI,D,8.49,ug/g,,,,,,A12714,,Gamberg
Canada,A6,Western Hudson Bay,2012,Rangifer tarandus,F,HG,KI,D,8.84,ug/g,,,,,,A12715,,Gamberg
Canada,A6,Western Hudson Bay,2012,Rangifer tarandus,M,HG,KI,D,9.52,ug/g,,,,,,A12716,,Gamberg
Canada,A6,Western Hudson Bay,2012,Rangifer tarandus,M,HG,KI,D,12.49,ug/g,,,,,,A12717,,Gamberg
Canada,A6,Western Hudson Bay,2013,Rangifer tarandus,F,HG,KI,D,3.33,ug/g,,,,,,A12718,,Gamberg
Canada,A6,Western Hudson Bay,2013,Rangifer tarandus,F,HG,KI,D,3.46,ug/g,,,,,,A12719,,Gamberg
Canada,A6,Western Hudson Bay,2013,Rangifer tarandus,I,HG,KI,D,4.13,ug/g,,,,,,A12720,,Gamberg
Canada,A6,Western Hudson Bay,2013,Rangifer tarandus,F,HG,KI,D,4.91,ug/g,,,,,,A12721,,Gamberg
Canada,A6,Western Hudson Bay,2014,Rangifer tarandus,M,HG,KI,D,3.1,ug/g,,,,,,A12722,,Gamberg
Canada,A6,Western Hudson Bay,2014,Rangifer tarandus,M,HG,KI,D,3.3,ug/g,,,,,,A12723,,Gamberg
Canada,A6,Western Hudson Bay,2014,Rangifer tarandus,M,HG,KI,D,3.51,ug/g,,,,,,A12724,,Gamberg
Canada,A6,Western Hudson Bay,2014,Rangifer tarandus,F,HG,KI,D,3.58,ug/g,,,,,,A12725,,Gamberg
Canada,A6,Western Hudson Bay,2014,Rangifer tarandus,F,HG,KI,D,3.67,ug/g,,,,,,A12726,,Gamberg
Canada,A6,Western Hudson Bay,2014,Rangifer tarandus,M,HG,KI,D,3.74,ug/g,,,,,,A12727,,Gamberg
Canada,A6,Western Hudson Bay,2014,Rangifer tarandus,F,HG,KI,D,3.8,ug/g,,,,,,A12728,,Gamberg
Canada,A6,Western Hudson Bay,2014,Rangifer tarandus,F,HG,KI,D,4.35,ug/g,,,,,,A12729,,Gamberg
Canada,A6,Western Hudson Bay,2014,Rangifer tarandus,M,HG,KI,D,4.52,ug/g,,,,,,A12730,,Gamberg
Canada,A6,Western Hudson Bay,2014,Rangifer tarandus,F,HG,KI,D,5.19,ug/g,,,,,,A12731,,Gamberg
Canada,A6,Western Hudson Bay,2014,Rangifer tarandus,F,HG,KI,D,5.33,ug/g,,,,,,A12732,,Gamberg
Canada,A6,Western Hudson Bay,2014,Rangifer tarandus,M,HG,KI,D,5.56,ug/g,,,,,,A12733,,Gamberg
Canada,A6,Western Hudson Bay,2014,Rangifer tarandus,F,HG,KI,D,5.97,ug/g,,,,,,A12734,,Gamberg
Canada,A6,Western Hudson Bay,2014,Rangifer tarandus,M,HG,KI,D,6.18,ug/g,,,,,,A12735,,Gamberg
Canada,A6,Western Hudson Bay,2014,Rangifer tarandus,F,HG,KI,D,6.3,ug/g,,,,,,A12736,,Gamberg
Canada,A6,Western Hudson Bay,2014,Rangifer tarandus,M,HG,KI,D,6.73,ug/g,,,,,,A12737,,Gamberg
Canada,A6,Western Hudson Bay,2014,Rangifer tarandus,F,HG,KI,D,7.59,ug/g,,,,,,A12738,,Gamberg
Canada,A6,Western Hudson Bay,2014,Rangifer tarandus,F,HG,KI,D,8.72,ug/g,,,,,,A12739,,Gamberg
