country;station_code;station_name;year;species;sex;determinand;matrix;basis;unit;value;qflag;limit_detection;limit_quantification;uncertainty;methodUncertainty;sub.sample;AMAP_group;idno
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;TNONC;BB;L;ng/g;178.31;;;;25;%;;juvenile;1312
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;N15D;MU;D;ppt;17.9;;;;25;%;;juvenile;1312
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;C13D;MU;D;ppt;-18.8;;;;25;%;;juvenile;1312
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;SCB7;BB;L;ng/g;4780.3;;;;25;%;;adult_female;1316
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;DDTPP;BB;L;ng/g;505.25;;;;25;%;;adult_female;1316
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;HCH;BB;L;ng/g;223;;;;25;%;;adult_female;1316
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;HCB;BB;L;ng/g;117;;;;25;%;;adult_female;1316
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;OCB;BB;L;ng/g;31;;;;25;%;;adult_female;1316
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;DIEL;BB;L;ng/g;181.38;;;;25;%;;adult_female;1316
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;HCEPX;BB;L;ng/g;153;;;;25;%;;adult_female;1316
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;MIREX;BB;L;ng/g;9.18;;;;25;%;;adult_female;1316
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;AGMEA;HA;D;y;10;;;;25;%;;adult_female;1316
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;OCDAN;BB;L;ng/g;958;;;;25;%;;adult_female;1316
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;TNONC;BB;L;ng/g;166.16;;;;25;%;;adult_female;1316
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;N15D;MU;D;ppt;17.6;;;;25;%;;adult_female;1316
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;C13D;MU;D;ppt;-18.4;;;;25;%;;adult_female;1316
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;M;SCB7;BB;L;ng/g;10009.56;;;;25;%;;juvenile;1317
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;M;DDTPP;BB;L;ng/g;388.9;;;;25;%;;juvenile;1317
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;M;HCH;BB;L;ng/g;371;;;;25;%;;juvenile;1317
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;M;HCB;BB;L;ng/g;142;;;;25;%;;juvenile;1317
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;M;OCB;BB;L;ng/g;41;;;;25;%;;juvenile;1317
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;M;DIEL;BB;L;ng/g;273.31;;;;25;%;;juvenile;1317
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;M;HCEPX;BB;L;ng/g;261;;;;25;%;;juvenile;1317
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;M;MIREX;BB;L;ng/g;7.29;;;;25;%;;juvenile;1317
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;M;AGMEA;HA;D;y;1;;;;25;%;;juvenile;1317
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;M;OCDAN;BB;L;ng/g;1512;;;;25;%;;juvenile;1317
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;M;TNONC;BB;L;ng/g;165.93;;;;25;%;;juvenile;1317
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;M;N15D;MU;D;ppt;18.7;;;;25;%;;juvenile;1317
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;M;C13D;MU;D;ppt;-18.5;;;;25;%;;juvenile;1317
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;SCB7;BB;L;ng/g;10164.38;;;;25;%;;juvenile;1321
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;DDTPP;BB;L;ng/g;573.1;;;;25;%;;juvenile;1321
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;HCH;BB;L;ng/g;396;;;;25;%;;juvenile;1321
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;HCB;BB;L;ng/g;60;;;;25;%;;juvenile;1321
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;OCB;BB;L;ng/g;31;;;;25;%;;juvenile;1321
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;DIEL;BB;L;ng/g;453.07;;;;25;%;;juvenile;1321
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;HCEPX;BB;L;ng/g;355;;;;25;%;;juvenile;1321
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;MIREX;BB;L;ng/g;4.53;;;;25;%;;juvenile;1321
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;AGMEA;HA;D;y;4;;;;25;%;;juvenile;1321
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;OCDAN;BB;L;ng/g;2613;;;;25;%;;juvenile;1321
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;TNONC;BB;L;ng/g;305.36;;;;25;%;;juvenile;1321
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;N15D;MU;D;ppt;19.4;;;;25;%;;juvenile;1321
Denmark;A90;Ittoqqortoormiit AMAP;1984;Ursus maritimus;F;C13D;MU;D;ppt;-19.8;;;;25;%;;juvenile;1321
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;SCB7;BB;L;ng/g;35012.21;;;;25;%;;juvenile;1387
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;DDTPP;BB;L;ng/g;604.53;;;;25;%;;juvenile;1387
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;HCH;BB;L;ng/g;623;;;;25;%;;juvenile;1387
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;HCB;BB;L;ng/g;206;;;;25;%;;juvenile;1387
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;OCB;BB;L;ng/g;75;;;;25;%;;juvenile;1387
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;DIEL;BB;L;ng/g;767.08;;;;25;%;;juvenile;1387
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;HCEPX;BB;L;ng/g;679;;;;25;%;;juvenile;1387
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;MIREX;BB;L;ng/g;21.38;;;;25;%;;juvenile;1387
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;AGMEA;HA;D;y;4;;;;25;%;;juvenile;1387
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;OCDAN;BB;L;ng/g;5089;;;;25;%;;juvenile;1387
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;TNONC;BB;L;ng/g;562.48;;;;25;%;;juvenile;1387
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;N15D;MU;D;ppt;17.2;;;;25;%;;juvenile;1387
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;C13D;MU;D;ppt;-19;;;;25;%;;juvenile;1387
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;SCB7;BB;L;ng/g;12335.6;;;;25;%;;juvenile;1388
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;DDTPP;BB;L;ng/g;488.51;;;;25;%;;juvenile;1388
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;HCH;BB;L;ng/g;259;;;;25;%;;juvenile;1388
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;HCB;BB;L;ng/g;114;;;;25;%;;juvenile;1388
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;OCB;BB;L;ng/g;21;;;;25;%;;juvenile;1388
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;DIEL;BB;L;ng/g;225.26;;;;25;%;;juvenile;1388
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;HCEPX;BB;L;ng/g;281;;;;25;%;;juvenile;1388
Denmark;A90;Ittoqqortoormiit AMAP;1986;Ursus maritimus;F;MIREX;BB;L;ng/g;12.73;;;;25;%;;juvenile;1388
